@RELATION Pacman-data-training

@ATTRIBUTE pacman_position_x NUMERIC
@ATTRIBUTE pacman_position_y NUMERIC
@ATTRIBUTE is_North_Valid {True,False}
@ATTRIBUTE is_South_Valid {True,False}
@ATTRIBUTE is_East_Valid {True,False}
@ATTRIBUTE is_West_Valid {True,False}
@ATTRIBUTE is_Stop_Valid {True,False}
@ATTRIBUTE pacman_direction {North,South,East,West,Stop}
@ATTRIBUTE alive_ghost_1 {True,False}
@ATTRIBUTE alive_ghost_2 {True,False}
@ATTRIBUTE alive_ghost_3 {True,False}
@ATTRIBUTE alive_ghost_4 {True,False}
@ATTRIBUTE ghost_1_position_x NUMERIC
@ATTRIBUTE ghost_1_position_y NUMERIC
@ATTRIBUTE ghost_2_position_x NUMERIC
@ATTRIBUTE ghost_2_position_y NUMERIC
@ATTRIBUTE ghost_3_position_x NUMERIC
@ATTRIBUTE ghost_3_position_y NUMERIC
@ATTRIBUTE ghost_4_position_x NUMERIC
@ATTRIBUTE ghost_4_position_y NUMERIC
@ATTRIBUTE ghost_1_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_2_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_3_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_4_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_1_distance NUMERIC
@ATTRIBUTE ghost_2_distance NUMERIC
@ATTRIBUTE ghost_3_distance NUMERIC
@ATTRIBUTE ghost_4_distance NUMERIC
@ATTRIBUTE pac_dots_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC

@ATTRIBUTE next_action {North,South,East,West,Stop}
@ATTRIBUTE next_score NUMERIC

@DATA
12,10,True,True,True,True,True,Stop,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,-2,-1,East,-3
13,10,True,True,True,True,True,East,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,12,10,4,2,6,-3,-1,North,-4
13,11,True,True,True,True,True,North,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,13,9,5,1,7,-4,199,North,195
13,12,True,True,True,True,True,North,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,14,8,6,-1,8,195,-1,West,194
12,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,13,7,7,-1,9,194,-1,West,193
11,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,12,6,8,-1,10,193,-1,West,192
10,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,11,5,9,-1,11,192,-1,West,191
9,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,10,4,10,-1,12,191,-1,West,190
8,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,9,3,11,-1,13,190,-1,West,189
7,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,8,2,12,-1,14,189,-1,West,188
6,12,True,True,True,True,True,West,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,7,1,13,-1,15,188,199,West,387
5,12,True,True,True,True,True,West,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,6,-1,14,-1,16,387,-1,East,386
6,12,True,True,True,True,True,East,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,7,-1,13,-1,15,386,-1,South,385
6,11,True,True,True,True,True,South,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,6,-1,12,-1,14,385,-1,South,384
6,10,True,True,True,False,True,South,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,5,-1,11,-1,13,384,-1,South,383
6,9,True,True,True,True,True,South,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,4,-1,10,-1,12,383,-1,West,382
5,9,False,True,True,True,True,West,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,3,-1,11,-1,13,382,-1,South,381
5,8,True,True,True,True,True,South,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,2,-1,10,-1,14,381,-1,South,380
5,7,True,True,True,True,True,South,True,False,True,False,5,6,3,1,13,6,7,1,Stop,Stop,Stop,Stop,1,-1,9,-1,15,380,199,South,579
5,6,True,True,True,True,True,South,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,8,-1,16,579,-1,East,578
6,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,7,-1,15,578,-1,East,577
7,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,6,-1,14,577,-1,East,576
8,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,5,-1,13,576,-1,East,575
9,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,4,-1,12,575,-1,East,574
10,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,3,-1,11,574,-1,East,573
11,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,2,-1,10,573,-1,East,572
12,6,True,True,True,True,True,East,False,False,True,False,1,1,3,1,13,6,7,1,Stop,Stop,Stop,Stop,-1,-1,1,-1,9,572,199,East,771
1,18,False,True,True,False,True,Stop,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,13,25,28,35,-1,0,-1,Stop,-1
1,18,False,True,True,False,True,Stop,True,True,True,True,5,10,11,3,16,6,25,7,North,Stop,West,West,12,25,27,34,-1,-1,-1,East,-2
2,18,False,False,True,True,True,East,True,True,True,True,5,9,10,3,17,6,24,7,South,West,East,West,12,23,27,32,-1,-2,-1,East,-3
3,18,False,False,True,True,True,East,True,True,True,True,4,9,10,3,17,6,23,7,West,West,East,West,10,22,26,31,-1,-3,-1,East,-4
4,18,False,False,True,True,True,East,True,True,True,True,4,8,10,4,17,6,23,7,South,North,East,East,10,20,25,31,-1,-4,-1,East,-5
5,18,False,False,True,True,True,East,True,True,True,True,4,8,11,4,16,6,24,7,South,East,West,West,11,20,23,29,-1,-5,-1,East,-6
6,18,False,False,True,True,True,East,True,True,True,True,5,8,11,5,16,6,23,7,East,North,West,North,11,18,22,27,-1,-6,-1,East,-7
7,18,False,False,True,True,True,East,True,True,True,True,5,8,11,5,17,6,23,8,East,North,East,West,12,17,22,25,-1,-7,-1,East,-8
8,18,False,False,True,True,True,East,True,True,True,True,5,7,11,5,18,6,22,8,South,North,East,West,14,16,22,24,-1,-8,-1,East,-9
9,18,False,False,True,True,True,East,True,True,True,True,6,7,10,5,18,5,22,8,East,West,South,West,14,14,22,23,-1,-9,-1,East,-10
10,18,False,False,True,True,True,East,True,True,True,True,5,7,10,4,18,5,22,8,West,South,South,East,16,14,21,23,-1,-10,-1,East,-11
11,18,False,False,True,True,True,East,True,True,True,True,5,6,9,4,17,5,23,8,South,West,West,West,18,16,19,21,-1,-11,-1,East,-12
12,18,False,False,True,True,True,East,True,True,True,True,5,6,8,4,17,5,22,8,South,West,West,East,19,18,18,21,-1,-12,-1,East,-13
13,18,False,False,True,True,True,East,True,True,True,True,5,7,8,4,17,4,23,8,North,West,South,West,19,19,18,19,-1,-13,-1,East,-14
14,18,False,True,True,True,True,East,True,True,True,True,4,7,9,4,17,5,22,8,West,East,North,East,21,19,16,19,-1,-14,-1,South,-15
14,17,True,True,True,False,True,South,True,True,True,True,4,8,8,4,17,5,23,8,North,West,North,East,19,19,15,19,-1,-15,-1,South,-16
14,16,True,True,True,True,True,South,True,True,True,True,5,8,8,4,17,6,24,8,East,West,North,South,17,18,13,19,-1,-16,-1,West,-17
13,16,False,True,True,True,True,West,True,True,True,True,5,9,8,4,17,6,24,7,North,West,North,East,15,17,14,21,-1,-17,-1,West,-18
12,16,False,True,True,True,True,West,True,True,True,True,5,10,8,4,18,6,25,7,North,West,East,South,13,16,16,23,-1,-18,-1,West,-19
11,16,False,True,True,True,True,West,True,True,True,True,6,10,8,5,18,5,25,6,East,North,South,South,11,14,18,24,-1,-19,-1,South,-20
11,15,True,False,True,True,True,South,True,True,True,True,6,9,9,5,19,5,25,6,South,East,East,East,11,12,18,24,-1,-20,-1,West,-21
10,15,True,True,True,True,True,West,True,True,True,True,6,8,9,4,19,6,26,6,South,South,North,South,11,12,18,26,-1,-21,-1,South,-22
10,14,True,True,False,True,True,South,True,True,True,True,6,8,9,3,19,5,26,5,South,South,South,South,10,12,18,25,-1,-22,-1,South,-23
10,13,True,True,False,True,True,South,True,True,True,True,6,7,8,3,18,5,26,5,South,West,West,South,10,12,16,24,-1,-23,-1,South,-24
10,12,True,True,True,True,True,South,True,True,True,True,6,8,7,3,17,5,26,5,North,West,West,South,8,12,14,24,-1,-24,-1,South,-25
10,11,True,True,True,True,True,South,True,True,True,True,6,9,6,3,17,6,26,4,North,West,North,South,6,12,12,23,-1,-25,-1,South,-26
10,10,True,True,True,True,True,South,True,True,True,True,6,9,6,3,16,6,26,4,North,West,West,North,5,11,10,21,-1,-26,-1,South,-27
10,9,True,True,True,True,True,South,True,True,True,True,6,9,5,3,15,6,26,5,North,West,West,North,4,11,8,20,-1,-27,-1,South,-28
10,8,True,True,True,True,True,South,True,True,True,True,5,9,6,3,14,6,26,5,West,East,West,North,6,9,6,19,-1,-28,-1,West,-29
9,8,True,True,True,True,True,West,True,True,True,True,6,9,7,3,14,6,26,5,East,East,West,South,4,7,7,21,-1,-29,-1,West,-30
8,8,True,True,True,False,True,West,True,True,True,True,6,9,6,3,15,6,26,4,East,West,East,South,3,7,9,22,-1,-30,-1,South,-31
8,7,True,True,True,False,True,South,True,True,True,True,6,9,5,3,14,6,26,4,East,West,West,East,4,7,7,22,-1,-31,-1,South,-32
8,6,True,True,True,True,True,South,True,True,True,True,6,8,6,3,15,6,27,4,South,East,East,West,4,5,7,20,-1,-32,-1,West,-33
7,6,False,False,True,True,True,West,True,True,True,True,6,8,7,3,14,6,26,4,South,East,West,South,3,3,7,22,-1,-33,-1,West,-34
6,6,True,False,True,True,True,West,True,True,True,True,6,9,8,3,15,6,26,3,North,East,East,West,3,5,9,22,-1,-34,-1,North,-35
6,7,True,True,False,True,True,North,True,True,True,True,6,8,7,3,16,6,25,3,Stop,West,East,West,1,5,11,23,-1,-35,199,North,164
6,8,True,True,False,True,True,North,False,True,True,True,1,1,7,3,15,6,25,3,Stop,West,West,West,-1,6,11,23,-1,164,-1,South,163
6,7,True,True,False,True,True,South,False,True,True,True,1,1,7,3,14,6,24,3,Stop,West,West,West,-1,5,9,21,-1,163,-1,South,162
6,6,True,False,True,True,True,South,False,True,True,True,1,1,6,3,15,6,23,3,Stop,West,East,East,-1,3,9,21,-1,162,-1,West,161
5,6,True,True,True,True,True,West,False,True,True,True,1,1,7,3,16,6,24,3,Stop,East,East,East,-1,5,11,23,-1,161,-1,South,160
5,5,True,True,False,True,True,South,False,True,True,True,1,1,7,3,16,6,25,3,Stop,East,East,West,-1,4,12,21,-1,160,-1,South,159
5,4,True,True,False,True,True,South,False,True,True,True,1,1,8,3,15,6,24,3,Stop,East,West,West,-1,4,12,20,-1,159,-1,South,158
