@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7,9-12,21-24,29,31,33-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.Randomize -S 1'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
5,7,True,True,True,True,South,6,6,10,7,17,11,22,9,2,5,16,20,394,South
4,11,False,False,True,True,East,6,5,6,9,8,11,14,6,8,4,4,15,-3,East
18,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,3,8,343,East
7,6,False,False,True,True,West,5,9,11,3,17,6,25,7,5,7,10,19,-20,West
12,8,True,True,True,True,West,6,10,4,12,5,1,7,1,8,12,-1,-1,392,West
12,9,False,True,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,5,561,South
18,6,False,True,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,8,504,East
19,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,4,7,317,East
9,11,False,False,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,10,566,East
4,8,True,True,True,True,North,1,1,3,1,8,11,14,6,-1,-1,7,12,374,East
17,13,False,False,True,True,West,14,16,14,15,16,15,16,15,6,5,3,3,-25,West
19,11,True,True,True,True,East,1,1,3,1,26,4,25,6,-1,-1,14,12,353,East
19,15,True,True,True,False,West,10,15,13,15,14,15,17,15,9,6,5,2,-21,South
4,12,False,False,True,True,East,5,9,11,3,17,6,25,7,4,16,19,26,-9,East
14,16,True,True,False,True,East,1,1,3,1,5,1,17,15,-1,-1,-1,4,507,South
14,13,False,False,True,True,West,10,15,13,15,14,15,17,15,6,3,2,5,-28,West
7,7,True,False,True,True,East,6,5,3,1,8,11,14,6,3,-1,5,8,190,East
20,11,True,True,True,True,East,1,1,3,1,5,1,22,9,-1,-1,-1,4,2359,South
7,5,False,True,True,True,West,6,5,3,1,8,11,14,6,1,-1,7,8,186,West
18,11,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,2,6,1963,North
14,7,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,10,10,1571,North
12,13,False,False,True,True,West,14,15,14,16,11,17,15,15,4,5,5,6,-66,West
19,11,True,True,True,True,South,1,1,3,1,5,1,22,9,-1,-1,-1,5,2260,East
10,13,False,False,True,True,West,11,15,17,15,12,20,17,15,3,9,9,8,-50,West
5,11,False,True,True,True,East,6,5,6,9,8,11,14,6,7,3,3,14,-4,South
18,13,False,False,True,True,West,11,15,16,15,12,19,13,15,9,4,12,6,-42,West
12,8,True,True,True,False,South,6,5,3,1,5,1,14,6,9,-1,-1,3,384,South
6,3,False,False,True,True,East,1,1,10,4,24,6,28,3,-1,5,21,22,176,East
9,3,True,False,True,True,West,1,1,3,1,19,12,22,9,-1,-1,19,19,1480,North
11,17,False,False,True,True,East,10,15,13,15,14,15,17,15,3,4,5,8,-42,East
9,8,True,True,True,True,South,9,3,11,7,19,12,22,9,5,3,14,14,491,East
13,10,True,True,True,True,South,5,6,5,12,13,6,7,1,12,10,4,-1,195,South
12,8,True,True,True,False,West,7,3,3,1,5,1,7,1,10,-1,-1,-1,573,South
13,9,False,True,True,True,East,6,3,3,1,5,1,7,1,13,-1,-1,-1,576,Stop
13,10,True,True,True,False,North,1,1,3,1,17,6,25,7,-1,-1,8,15,327,Stop
12,12,False,False,True,True,East,1,1,3,1,27,3,24,4,-1,-1,24,20,361,East
11,4,True,True,True,True,South,9,3,3,1,19,12,22,9,3,-1,16,16,1085,West
23,6,True,True,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,3,499,East
16,13,False,False,True,True,West,14,15,14,15,15,15,16,15,4,4,3,3,-26,West
21,12,True,True,False,False,North,10,15,13,15,14,15,17,15,14,11,10,7,-16,North
10,13,False,False,True,True,East,13,15,15,15,12,20,17,15,5,7,9,9,-52,East
5,10,True,True,True,True,South,8,5,11,5,17,12,22,10,8,11,14,18,197,South
23,7,True,True,True,False,South,1,1,3,1,28,5,24,5,-1,-1,7,3,345,South
13,16,True,True,True,False,South,1,1,3,1,5,1,16,15,-1,-1,-1,5,508,East
23,10,True,True,True,True,East,1,1,3,1,27,7,24,5,-1,-1,7,5,348,South
6,6,True,False,True,True,West,5,9,11,3,17,6,25,7,4,8,11,20,-21,North
15,12,False,True,True,True,East,1,1,3,1,28,3,24,4,-1,-1,22,16,358,East
10,7,True,True,True,True,South,9,3,11,7,19,12,22,9,5,1,14,14,689,East
12,5,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,14,14,1575,North
18,7,True,True,False,False,North,11,15,13,16,16,15,15,15,15,14,10,10,-8,North
6,11,True,True,True,True,South,9,3,11,7,19,12,22,9,11,9,14,18,97,East
18,8,False,True,True,True,North,10,15,13,15,14,15,17,15,15,12,11,8,-9,East
17,17,False,False,True,True,West,11,20,12,20,15,17,17,15,9,8,2,3,-83,West
14,8,True,True,True,True,West,1,1,3,1,17,6,25,7,-1,-1,5,12,310,South
17,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,2,9,313,West
13,13,False,False,True,True,East,14,15,17,15,13,16,15,15,3,6,3,4,-33,East
18,12,False,True,True,True,North,1,1,3,1,19,12,22,9,-1,-1,1,7,2062,East
19,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,4,7,342,East
13,16,True,True,True,False,South,10,15,13,15,14,15,17,15,4,1,2,5,-45,South
17,11,True,True,True,True,North,1,1,3,1,19,12,22,9,-1,-1,3,7,1964,East
12,13,False,False,True,True,West,11,15,16,15,12,18,16,15,3,6,5,7,-48,West
5,9,True,True,True,True,South,7,5,10,5,16,12,23,10,6,9,14,18,196,South
11,10,True,True,False,True,East,6,4,3,1,5,1,14,5,11,-1,-1,7,387,South
6,10,True,True,False,True,North,1,1,3,1,8,11,14,6,-1,-1,3,12,370,North
16,13,False,False,True,True,East,13,16,13,17,15,18,15,15,6,7,6,2,-74,East
13,10,True,True,True,False,North,1,1,3,1,17,6,25,7,-1,-1,8,15,330,Stop
21,6,False,False,True,True,East,1,1,3,1,5,1,25,7,-1,-1,-1,5,501,East
21,10,True,True,True,True,East,1,1,3,1,5,1,22,9,-1,-1,-1,2,2557,South
8,3,True,False,True,True,East,1,1,9,3,25,5,28,3,-1,1,19,21,174,East
10,6,True,True,True,True,West,5,6,5,12,5,1,7,1,5,11,-1,-1,388,West
8,11,True,True,True,False,South,5,9,11,3,17,6,25,7,5,11,14,21,-14,South
5,7,True,True,True,True,East,1,1,10,4,21,6,28,4,-1,8,17,26,183,East
8,11,False,False,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,11,567,East
14,7,True,True,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,1,557,South
11,5,False,True,True,True,West,11,3,3,1,5,1,7,1,2,-1,-1,-1,557,South
13,8,True,True,True,True,South,6,3,3,1,5,1,7,1,12,-1,-1,-1,574,West
11,10,True,True,False,True,North,1,1,3,1,27,4,26,4,-1,-1,22,20,364,North
16,8,False,False,True,True,West,1,1,3,1,17,6,25,7,-1,-1,3,10,337,West
11,13,False,False,True,True,East,14,16,14,15,13,17,15,15,6,5,6,7,-69,East
21,15,True,True,True,True,North,14,17,11,15,16,15,15,15,9,10,5,7,-19,West
21,9,True,True,False,False,North,13,16,12,15,17,15,15,15,15,15,10,12,-13,North
15,13,False,False,True,True,West,10,15,13,15,14,15,17,15,7,4,3,4,-27,West
