@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R26,28'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
1,12,North,True,False,True,False,8,7,3,1,16,3,7,1,East,Stop,East,Stop,12,-1,24,-1,20,380,East
2,12,East,True,False,True,False,8,8,3,1,16,4,7,1,North,Stop,North,Stop,10,-1,22,-1,19,379,East
3,12,East,True,False,True,False,7,8,3,1,16,4,7,1,West,Stop,North,Stop,8,-1,21,-1,18,378,South
3,11,South,True,False,True,False,7,8,3,1,16,3,7,1,West,Stop,South,Stop,7,-1,21,-1,17,377,East
4,11,East,True,False,True,False,8,8,3,1,16,3,7,1,East,Stop,South,Stop,7,-1,20,-1,16,376,East
5,11,East,True,False,True,False,8,7,3,1,15,3,7,1,South,Stop,West,Stop,7,-1,18,-1,15,375,East
6,11,East,True,False,True,False,7,7,3,1,15,3,7,1,West,Stop,West,Stop,5,-1,17,-1,14,374,South
6,10,South,True,False,True,False,7,7,3,1,16,3,7,1,West,Stop,East,Stop,4,-1,17,-1,13,373,South
6,9,South,True,False,True,False,6,7,3,1,15,3,7,1,West,Stop,West,Stop,2,-1,15,-1,12,372,South
6,8,South,True,False,True,False,5,7,3,1,15,3,7,1,West,Stop,West,Stop,2,-1,14,-1,13,371,South
6,7,South,True,False,True,False,5,8,3,1,14,3,7,1,North,Stop,West,Stop,2,-1,12,-1,14,370,North
6,8,North,True,False,True,False,5,9,3,1,13,3,7,1,North,Stop,West,Stop,2,-1,12,-1,13,369,North
6,9,North,True,False,True,False,4,9,3,1,13,3,7,1,West,Stop,West,Stop,2,-1,13,-1,12,368,West
5,9,West,True,False,True,False,4,9,3,1,14,3,7,1,Stop,Stop,East,Stop,1,-1,15,-1,13,367,West
4,9,West,False,False,True,False,1,1,3,1,15,3,7,1,Stop,Stop,East,Stop,-1,-1,17,-1,14,566,South
4,8,South,False,False,True,False,1,1,3,1,15,3,7,1,Stop,Stop,East,Stop,-1,-1,16,-1,15,565,East
5,8,East,False,False,True,False,1,1,3,1,14,3,7,1,Stop,Stop,West,Stop,-1,-1,14,-1,14,564,East
6,8,East,False,False,True,False,1,1,3,1,14,4,7,1,Stop,Stop,North,Stop,-1,-1,12,-1,13,563,East
7,8,East,False,False,True,False,1,1,3,1,14,4,7,1,Stop,Stop,North,Stop,-1,-1,11,-1,12,562,East
8,8,East,False,False,True,False,1,1,3,1,14,3,7,1,Stop,Stop,South,Stop,-1,-1,11,-1,11,561,East
9,8,East,False,False,True,False,1,1,3,1,14,3,7,1,Stop,Stop,South,Stop,-1,-1,10,-1,10,560,South
9,7,South,False,False,True,False,1,1,3,1,13,3,7,1,Stop,Stop,West,Stop,-1,-1,8,-1,11,559,South
9,6,South,False,False,True,False,1,1,3,1,13,4,7,1,Stop,Stop,North,Stop,-1,-1,6,-1,12,558,East
10,6,East,False,False,True,False,1,1,3,1,13,3,7,1,Stop,Stop,South,Stop,-1,-1,6,-1,11,557,South
10,5,South,False,False,True,False,1,1,3,1,13,3,7,1,Stop,Stop,South,Stop,-1,-1,5,-1,12,556,East
11,5,East,False,False,True,False,1,1,3,1,12,3,7,1,Stop,Stop,West,Stop,-1,-1,3,-1,11,555,South
11,4,South,False,False,True,False,1,1,3,1,11,3,7,1,Stop,Stop,Stop,Stop,-1,-1,1,-1,12,554,South
1,18,Stop,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,13,25,28,35,-1,0,South
1,17,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,12,24,27,34,-1,-1,South
1,16,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,11,23,26,33,-1,-2,South
1,15,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,10,22,25,32,-1,-3,South
1,14,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,9,21,24,31,-1,-4,South
1,13,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,8,20,23,30,-1,-5,South
1,12,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,7,19,22,29,-1,-6,East
2,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,6,18,21,28,-1,-7,East
3,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,5,17,20,27,-1,-8,East
4,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,16,19,26,-1,-9,East
5,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,3,15,18,25,-1,-10,East
6,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,14,17,24,-1,-11,East
7,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,5,13,16,23,-1,-12,East
8,12,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,6,12,15,22,-1,-13,South
8,11,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,5,11,14,21,-1,-14,South
8,10,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,10,13,20,-1,-15,South
8,9,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,3,9,12,19,-1,-16,South
8,8,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,8,11,18,-1,-17,South
