@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.Randomize-S7-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.instance.RemoveDuplicates-do-not-check-capabilities-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
0.346154,0.333333,West,True,False,False,False,0.133333,0.411765,0.076923,0,0,0,0,0,East,Stop,Stop,Stop,0.296296,0,0,0,0,0.241296,West
1,0,South,False,False,False,True,0,0,0.076923,0,0,0,0.857143,0.142857,Stop,Stop,Stop,East,0,0,0,0.111111,0,0.198552,North
0.653846,0.222222,East,False,False,False,True,0,0,0.076923,0,0,0,0.857143,0.285714,Stop,Stop,Stop,Stop,0,0,0,0.25,0,0.205446,East
0.384615,0.555556,North,False,False,True,True,0,0,0.076923,0,0.666667,0.263158,0.857143,0.285714,Stop,Stop,Stop,Stop,0,0,0.433333,0.555556,0,0.140986,East
0.384615,0.555556,North,False,False,True,True,0,0,0.076923,0,0.833333,0.157895,0.904762,0.190476,Stop,Stop,South,South,0,0,0.6,0.666667,0,0.140641,East
0.153846,0.333333,South,False,True,True,True,0,0,0.615385,0.176471,0.5,0.105263,0.809524,0.285714,Stop,East,South,South,0,0.384615,0.5,0.611111,0,0.078938,South
0.307692,0.5,East,True,False,False,True,0.333333,0.235294,0.076923,0,0,0,0.333333,0.238095,Stop,Stop,Stop,Stop,0.37037,0,0,0.305556,0.411765,0.150638,East
0.423077,0.444444,Stop,True,True,True,True,0.266667,0.235294,0.307692,0.647059,0.444444,0.210526,0.285714,0.52381,South,East,South,South,0.481481,0.346154,0.233333,0.083333,0.470588,0.017235,Stop
0.423077,0.222222,North,True,True,True,True,0.2,0.235294,0.538462,0.705882,0.555556,0.315789,0.190476,0.333333,East,South,East,East,0.37037,0.423077,0.166667,0.083333,0,0.043433,North
0.307692,0.166667,East,True,True,True,True,0.466667,0.176471,0.769231,0.352941,0.777778,0.578947,0.714286,0.285714,North,South,North,West,0.111111,0.230769,0.6,0.416667,0.117647,0.185109,East
0.807692,0.222222,East,False,False,False,True,0,0,0.076923,0,0,0,0.857143,0.285714,Stop,Stop,Stop,Stop,0,0,0,0.138889,0,0.204068,East
0.230769,0.5,East,True,False,True,True,0.8,0.235294,0.076923,0,0.333333,0.526316,0.52381,0.428571,East,Stop,East,North,0.481481,0,0.166667,0.361111,0.529412,0.080662,East
0.769231,0.388889,North,True,True,True,True,0.6,0.823529,0.846154,0.823529,0.5,0.736842,0.47619,0.666667,Stop,Stop,Stop,Stop,0.666667,0.576923,0.466667,0.305556,0,0.011375,North
0.5,0.444444,South,True,False,False,True,0.8,0.176471,0.076923,0,0,0,0.52381,0.47619,West,Stop,Stop,South,0.296296,0,0,0.138889,0.529412,0.181317,South
0.576923,0.722222,East,True,True,False,True,0.6,0.823529,0.846154,0.823529,0,0,0.47619,0.666667,Stop,Stop,Stop,Stop,0.259259,0.153846,0,0.055556,0,0.073768,East
0.961538,0.055556,West,False,False,False,True,0,0,0.076923,0,0,0,0.904762,0.142857,Stop,Stop,Stop,East,0,0,0,0.083333,0,0.197863,West
0.961538,0.166667,North,True,True,True,True,0.866667,0.882353,0.923077,0.882353,0.555556,0.894737,0.285714,0.714286,North,East,North,South,0.888889,0.923077,0.833333,0.666667,0,0.007928,Stop
0.307692,0.277778,North,False,False,False,True,0,0,0.076923,0,0,0,0.333333,0.238095,Stop,Stop,Stop,Stop,0,0,0,0.194444,0.529412,0.248535,North
0.961538,0.166667,North,True,True,True,True,0.8,0.882353,0.923077,0.941176,0.555556,0.947368,0.285714,0.666667,West,North,North,East,0.925926,0.961538,0.866667,0.638889,0,0.006894,West
0,0.388889,South,True,True,True,True,0.266667,0.470588,0.692308,0.117647,0.666667,0.263158,0.857143,0.285714,Stop,Stop,Stop,Stop,0.185185,0.653846,0.666667,0.75,0,0.013788,South
