@RELATION Pacman-data-training

@ATTRIBUTE pacman_position_x NUMERIC
@ATTRIBUTE pacman_position_y NUMERIC
@ATTRIBUTE pacman_direction {North,South,East,West,Stop}
@ATTRIBUTE alive_ghost_1 {True,False}
@ATTRIBUTE alive_ghost_2 {True,False}
@ATTRIBUTE alive_ghost_3 {True,False}
@ATTRIBUTE alive_ghost_4 {True,False}
@ATTRIBUTE ghost_1_position_x NUMERIC
@ATTRIBUTE ghost_1_position_y NUMERIC
@ATTRIBUTE ghost_2_position_x NUMERIC
@ATTRIBUTE ghost_2_position_y NUMERIC
@ATTRIBUTE ghost_3_position_x NUMERIC
@ATTRIBUTE ghost_3_position_y NUMERIC
@ATTRIBUTE ghost_4_position_x NUMERIC
@ATTRIBUTE ghost_4_position_y NUMERIC
@ATTRIBUTE ghost_1_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_2_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_3_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_4_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_1_distance NUMERIC
@ATTRIBUTE ghost_2_distance NUMERIC
@ATTRIBUTE ghost_3_distance NUMERIC
@ATTRIBUTE ghost_4_distance NUMERIC
@ATTRIBUTE pac_dots_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC

@ATTRIBUTE next_action {North,South,East,West,Stop}
@ATTRIBUTE next_score NUMERIC

@DATA
12,10,Stop,True,True,True,True,5,4,5,11,13,7,13,11,South,West,North,South,13,8,4,1,7,-3,-1,South,-4
12,9,South,True,True,True,True,6,4,5,12,14,7,13,10,East,North,East,West,11,10,4,1,6,-4,-1,South,-5
12,8,South,True,True,True,True,6,4,5,11,14,6,12,10,East,South,South,East,10,10,4,3,7,-5,-1,East,-6
13,8,East,True,True,True,True,5,4,6,11,14,5,13,10,West,East,South,West,12,10,4,3,6,-6,-1,East,-7
14,8,East,True,True,True,True,5,4,7,11,14,4,12,10,West,East,South,North,13,10,4,5,5,-7,-1,East,-8
15,8,East,True,True,True,True,5,5,7,10,13,4,12,11,North,South,West,South,13,10,6,5,4,-8,-1,East,-9
16,8,East,True,True,True,True,5,4,8,10,12,4,12,10,South,East,West,South,15,10,8,5,3,-9,-1,East,-10
17,8,East,True,True,True,True,4,4,7,10,12,5,12,9,West,West,North,West,17,12,8,7,2,-10,-1,East,-11
18,8,East,True,True,True,True,4,4,7,11,12,4,11,9,West,North,South,West,18,14,10,9,1,-11,99,North,88
18,9,North,True,True,True,True,4,3,7,12,12,5,10,9,South,North,North,South,20,14,10,9,-1,88,-1,North,87
18,10,North,True,True,True,True,3,3,8,12,12,4,10,8,West,East,South,East,22,12,12,9,-1,87,-1,West,86
17,10,West,True,True,True,True,3,3,9,12,13,4,11,8,West,East,East,East,21,10,10,8,-1,86,-1,West,85
16,10,West,True,True,True,True,3,4,9,11,13,5,11,8,North,South,North,North,19,8,8,6,-1,85,-1,West,84
15,10,West,True,True,True,True,4,4,9,12,13,6,11,9,East,North,North,South,17,8,6,6,-1,84,-1,South,83
15,9,South,True,True,True,True,4,3,9,13,13,6,11,8,South,North,North,East,17,10,5,4,-1,83,-1,South,82
15,8,South,True,True,True,True,4,4,9,13,14,6,12,8,North,North,East,West,15,11,3,4,-1,82,-1,South,81
15,7,South,True,True,True,True,4,3,9,14,13,6,11,8,South,North,West,West,15,13,3,6,-1,81,-1,West,80
14,7,West,True,True,True,True,4,3,9,13,14,6,10,8,South,South,East,West,14,11,1,5,-1,80,-1,West,79
13,7,West,True,True,True,True,4,4,8,13,15,6,10,8,North,West,East,East,12,11,3,3,-1,79,-1,West,78
12,7,West,True,True,True,True,4,4,8,14,15,7,11,8,North,North,North,East,11,11,3,1,-1,78,-1,South,77
12,6,South,True,True,True,True,3,4,9,14,14,7,12,8,West,East,West,West,11,11,3,3,-1,77,-1,South,76
12,5,South,True,True,True,True,3,5,9,14,15,7,11,8,North,East,East,West,9,12,5,4,-1,76,-1,North,75
12,6,North,True,True,True,True,4,5,9,13,15,7,11,8,East,South,East,East,9,10,4,2,-1,75,-1,North,74
12,7,North,True,True,True,False,3,5,10,13,15,7,12,8,West,East,East,Stop,11,8,3,-1,-1,274,-1,East,273
13,7,East,True,True,True,False,2,5,11,13,15,6,7,1,West,East,South,Stop,13,8,3,-1,-1,273,-1,East,272
14,7,East,True,True,True,False,2,5,11,13,15,6,7,1,West,East,South,Stop,14,9,2,-1,-1,272,-1,East,271
15,7,East,True,True,False,False,1,5,10,13,5,1,7,1,West,West,Stop,Stop,16,11,-1,-1,-1,471,-1,South,470
15,6,South,True,True,False,False,1,5,10,13,5,1,7,1,West,West,Stop,Stop,15,12,-1,-1,-1,470,-1,South,469
15,5,South,True,True,False,False,1,5,10,12,5,1,7,1,West,South,Stop,Stop,14,12,-1,-1,-1,469,-1,West,468
14,5,West,True,True,False,False,1,6,10,11,5,1,7,1,North,South,Stop,Stop,14,10,-1,-1,-1,468,-1,West,467
13,5,West,True,True,False,False,2,6,11,11,5,1,7,1,East,East,Stop,Stop,12,8,-1,-1,-1,467,-1,North,466
13,6,North,True,True,False,False,2,7,12,11,5,1,7,1,North,East,Stop,Stop,12,6,-1,-1,-1,466,-1,North,465
13,7,North,True,True,False,False,1,7,12,11,5,1,7,1,West,East,Stop,Stop,12,5,-1,-1,-1,465,-1,North,464
13,8,North,True,True,False,False,2,7,12,11,5,1,7,1,East,East,Stop,Stop,12,4,-1,-1,-1,464,-1,North,463
13,9,North,True,True,False,False,2,8,12,12,5,1,7,1,North,North,Stop,Stop,12,4,-1,-1,-1,463,-1,North,462
13,10,North,True,True,False,False,3,8,12,11,5,1,7,1,East,South,Stop,Stop,12,2,-1,-1,-1,462,-1,West,461
12,10,West,True,True,False,False,2,8,12,11,5,1,7,1,West,South,Stop,Stop,12,1,-1,-1,-1,461,-1,West,460
11,10,West,True,True,False,False,2,9,13,11,5,1,7,1,North,East,Stop,Stop,10,3,-1,-1,-1,460,-1,North,459
11,11,North,True,True,False,False,3,9,12,11,5,1,7,1,East,Stop,Stop,Stop,10,1,-1,-1,-1,459,199,East,658
12,11,East,True,False,False,False,3,9,3,1,5,1,7,1,East,Stop,Stop,Stop,11,-1,-1,-1,-1,658,-1,East,657
13,11,East,True,False,False,False,2,9,3,1,5,1,7,1,West,Stop,Stop,Stop,13,-1,-1,-1,-1,657,-1,East,656
14,11,East,True,False,False,False,2,9,3,1,5,1,7,1,West,Stop,Stop,Stop,14,-1,-1,-1,-1,656,-1,South,655
14,10,South,True,False,False,False,2,8,3,1,5,1,7,1,South,Stop,Stop,Stop,14,-1,-1,-1,-1,655,-1,South,654
14,9,South,True,False,False,False,2,7,3,1,5,1,7,1,South,Stop,Stop,Stop,14,-1,-1,-1,-1,654,-1,South,653
14,8,South,True,False,False,False,3,7,3,1,5,1,7,1,East,Stop,Stop,Stop,12,-1,-1,-1,-1,653,-1,West,652
13,8,West,True,False,False,False,3,7,3,1,5,1,7,1,East,Stop,Stop,Stop,11,-1,-1,-1,-1,652,-1,West,651
12,8,West,True,False,False,False,2,7,3,1,5,1,7,1,West,Stop,Stop,Stop,11,-1,-1,-1,-1,651,-1,West,650
11,8,West,True,False,False,False,2,8,3,1,5,1,7,1,North,Stop,Stop,Stop,9,-1,-1,-1,-1,650,-1,West,649
10,8,West,True,False,False,False,3,8,3,1,5,1,7,1,East,Stop,Stop,Stop,7,-1,-1,-1,-1,649,-1,West,648
9,8,West,True,False,False,False,2,8,3,1,5,1,7,1,West,Stop,Stop,Stop,7,-1,-1,-1,-1,648,-1,West,647
8,8,West,True,False,False,False,2,7,3,1,5,1,7,1,South,Stop,Stop,Stop,7,-1,-1,-1,-1,647,-1,West,646
7,8,West,True,False,False,False,2,7,3,1,5,1,7,1,South,Stop,Stop,Stop,6,-1,-1,-1,-1,646,-1,West,645
6,8,West,True,False,False,False,1,7,3,1,5,1,7,1,West,Stop,Stop,Stop,6,-1,-1,-1,-1,645,-1,West,644
5,8,West,True,False,False,False,1,6,3,1,5,1,7,1,South,Stop,Stop,Stop,6,-1,-1,-1,-1,644,-1,West,643
4,8,West,True,False,False,False,1,7,3,1,5,1,7,1,North,Stop,Stop,Stop,4,-1,-1,-1,-1,643,-1,West,642
3,8,West,True,False,False,False,1,7,3,1,5,1,7,1,North,Stop,Stop,Stop,3,-1,-1,-1,-1,642,-1,West,641
2,8,West,True,False,False,False,1,7,3,1,5,1,7,1,North,Stop,Stop,Stop,2,-1,-1,-1,-1,641,-1,West,640
1,8,West,True,False,False,False,2,7,3,1,5,1,7,1,East,Stop,Stop,Stop,2,-1,-1,-1,-1,640,-1,South,639
1,7,South,True,False,False,False,3,7,3,1,5,1,7,1,East,Stop,Stop,Stop,2,-1,-1,-1,-1,639,-1,South,638
1,6,South,True,False,False,False,3,6,3,1,5,1,7,1,South,Stop,Stop,Stop,2,-1,-1,-1,-1,638,-1,East,637
1,18,Stop,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,13,25,28,35,-1,0,-1,Stop,-1
1,18,Stop,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,13,25,28,35,-1,-1,-1,Stop,-2
1,18,Stop,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,13,25,28,35,-1,-2,-1,South,-3
1,17,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,12,24,27,34,-1,-3,-1,South,-4
1,16,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,11,23,26,33,-1,-4,-1,South,-5
1,15,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,10,22,25,32,-1,-5,-1,South,-6
1,14,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,9,21,24,31,-1,-6,-1,South,-7
1,13,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,8,20,23,30,-1,-7,-1,South,-8
1,12,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,7,19,22,29,-1,-8,-1,South,-9
1,11,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,6,18,21,28,-1,-9,-1,South,-10
1,10,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,5,17,20,27,-1,-10,-1,South,-11
1,9,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,16,19,26,-1,-11,-1,South,-12
1,8,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,5,15,18,25,-1,-12,-1,South,-13
1,7,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,6,14,17,24,-1,-13,-1,South,-14
1,6,South,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,7,13,16,25,-1,-14,-1,East,-15
2,6,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,6,12,15,24,-1,-15,-1,East,-16
3,6,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,5,11,14,23,-1,-16,-1,North,-17
3,7,North,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,12,15,22,-1,-17,-1,North,-18
3,8,North,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,3,13,16,23,-1,-18,-1,North,-19
3,9,North,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,2,14,17,24,-1,-19,-1,East,-20
4,9,East,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,1,13,16,23,-1,-20,199,East,179
5,9,East,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,12,15,22,-1,179,-1,East,178
6,9,East,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,11,14,21,-1,178,-1,South,177
6,8,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,10,13,20,-1,177,-1,South,176
6,7,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,9,12,19,-1,176,-1,South,175
6,6,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,8,11,20,-1,175,-1,East,174
7,6,East,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,7,10,19,-1,174,-1,East,173
8,6,East,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,6,9,18,-1,173,-1,East,172
9,6,East,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,5,8,17,-1,172,-1,South,171
9,5,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,4,9,18,-1,171,-1,South,170
9,4,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,3,10,19,-1,170,-1,South,169
9,3,South,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,2,11,20,-1,169,-1,East,168
10,3,East,False,True,True,True,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,-1,1,10,19,-1,168,199,East,367
