@RELATION Pacman-data-training

@ATTRIBUTE pacman_position_x NUMERIC
@ATTRIBUTE pacman_position_y NUMERIC
@ATTRIBUTE is_North_Valid {True,False}
@ATTRIBUTE is_South_Valid {True,False}
@ATTRIBUTE is_East_Valid {True,False}
@ATTRIBUTE is_West_Valid {True,False}
@ATTRIBUTE is_Stop_Valid {True,False}
@ATTRIBUTE pacman_direction {North,South,East,West,Stop}
@ATTRIBUTE alive_ghost_1 {True,False}
@ATTRIBUTE alive_ghost_2 {True,False}
@ATTRIBUTE alive_ghost_3 {True,False}
@ATTRIBUTE alive_ghost_4 {True,False}
@ATTRIBUTE ghost_1_position_x NUMERIC
@ATTRIBUTE ghost_1_position_y NUMERIC
@ATTRIBUTE ghost_2_position_x NUMERIC
@ATTRIBUTE ghost_2_position_y NUMERIC
@ATTRIBUTE ghost_3_position_x NUMERIC
@ATTRIBUTE ghost_3_position_y NUMERIC
@ATTRIBUTE ghost_4_position_x NUMERIC
@ATTRIBUTE ghost_4_position_y NUMERIC
@ATTRIBUTE ghost_1_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_2_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_3_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_4_direction {North,South,East,West,Stop}
@ATTRIBUTE ghost_1_distance NUMERIC
@ATTRIBUTE ghost_2_distance NUMERIC
@ATTRIBUTE ghost_3_distance NUMERIC
@ATTRIBUTE ghost_4_distance NUMERIC
@ATTRIBUTE pac_dots_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC

@ATTRIBUTE next_action {North,South,East,West,Stop}
@ATTRIBUTE next_score NUMERIC

@DATA
10,6,True,True,True,True,True,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,5,11,-1,-1,11,388,-1,West,387
9,6,True,True,True,True,True,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,4,10,-1,-1,12,387,-1,West,386
8,6,True,True,True,True,True,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,3,9,-1,-1,13,386,-1,West,385
7,6,True,True,True,True,True,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,2,8,-1,-1,14,385,-1,West,384
6,6,True,True,True,True,True,West,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,1,7,-1,-1,15,384,199,West,583
5,6,True,True,True,True,True,West,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,6,-1,-1,16,583,-1,North,582
5,7,True,True,True,True,True,North,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,5,-1,-1,15,582,-1,North,581
5,8,True,True,True,True,True,North,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,4,-1,-1,14,581,-1,North,580
5,9,False,True,True,True,True,North,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,3,-1,-1,13,580,-1,East,579
6,9,True,True,True,True,True,East,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,4,-1,-1,12,579,-1,North,578
6,10,True,True,True,False,True,North,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,3,-1,-1,13,578,-1,North,577
6,11,True,True,True,True,True,North,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,2,-1,-1,14,577,-1,North,576
6,12,True,True,True,True,True,North,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,1,-1,-1,15,576,199,West,775
1,18,False,True,True,False,True,Stop,True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,13,25,28,35,-1,0,-1,South,-1
1,17,True,True,False,False,True,South,True,True,True,True,5,8,11,3,17,6,25,7,South,Stop,Stop,West,13,24,27,33,-1,-1,-1,South,-2
1,16,True,True,True,False,True,South,True,True,True,True,5,8,10,3,18,6,24,7,South,West,East,West,12,22,27,32,-1,-2,-1,South,-3
1,15,True,True,True,False,True,South,True,True,True,True,5,7,11,3,19,6,24,7,South,East,East,South,12,22,27,32,-1,-3,-1,South,-4
1,14,True,True,True,False,True,South,True,True,True,True,5,8,11,4,20,6,24,6,North,North,East,South,10,20,27,31,-1,-4,-1,South,-5
1,13,True,True,False,False,True,South,True,True,True,True,5,7,11,5,21,6,24,6,South,North,East,East,10,18,27,31,-1,-5,-1,South,-6
1,12,True,True,True,False,True,South,True,True,True,True,4,7,11,4,20,6,25,6,West,South,West,South,8,18,25,31,-1,-6,-1,South,-7
1,11,True,True,False,False,True,South,True,True,True,True,4,6,11,4,21,6,25,5,South,South,East,East,8,17,25,31,-1,-7,-1,South,-8
1,10,True,True,False,False,True,South,True,True,True,True,5,6,11,4,21,6,26,5,East,South,East,South,8,16,24,31,-1,-8,-1,South,-9
1,9,True,True,False,False,True,South,True,True,True,True,5,7,11,3,21,6,26,4,North,South,East,South,6,16,23,30,-1,-9,-1,South,-10
1,8,True,True,False,False,True,South,True,True,True,True,5,6,11,4,20,6,26,4,South,North,West,South,6,14,21,29,-1,-10,-1,South,-11
1,7,True,True,False,False,True,South,True,True,True,True,5,6,11,4,21,6,26,4,South,North,East,East,5,13,21,29,-1,-11,-1,South,-12
1,6,True,True,True,False,True,South,True,True,True,True,5,7,11,4,21,6,27,4,North,North,East,South,5,12,20,29,-1,-12,-1,East,-13
2,6,False,True,True,True,True,East,True,True,True,True,5,7,11,4,21,6,27,3,North,North,East,South,4,11,19,28,-1,-13,-1,East,-14
3,6,True,True,True,True,True,East,True,True,True,True,5,7,11,4,22,6,27,3,North,North,East,North,3,10,19,26,-1,-14,-1,East,-15
4,6,True,True,True,True,True,East,True,True,True,True,5,8,11,4,21,6,27,4,North,North,West,East,3,9,17,26,-1,-15,-1,North,-16
4,7,True,True,True,True,True,North,True,True,True,True,5,7,11,4,22,6,28,4,Stop,North,East,East,1,10,19,27,-1,-16,199,East,183
5,7,True,True,True,True,True,East,False,True,True,True,1,1,10,4,21,6,28,4,Stop,West,West,East,-1,8,17,26,-1,183,-1,East,182
6,7,True,True,False,True,True,East,False,True,True,True,1,1,10,3,20,6,28,4,Stop,South,West,South,-1,8,15,26,-1,182,-1,South,181
6,6,True,False,True,True,True,South,False,True,True,True,1,1,9,3,21,6,28,3,Stop,West,East,South,-1,6,15,26,-1,181,-1,West,180
5,6,True,True,True,True,True,West,False,True,True,True,1,1,8,3,21,6,28,2,Stop,West,East,North,-1,6,16,26,-1,180,-1,South,179
5,5,True,True,False,True,True,South,False,True,True,True,1,1,8,4,22,6,28,3,Stop,North,East,West,-1,4,18,24,-1,179,-1,South,178
5,4,True,True,False,True,True,South,False,True,True,True,1,1,8,4,23,6,27,3,Stop,North,East,East,-1,3,20,24,-1,178,-1,South,177
5,3,True,False,True,True,True,South,False,True,True,True,1,1,9,4,23,6,28,3,Stop,East,East,East,-1,5,21,23,-1,177,-1,East,176
6,3,False,False,True,True,True,East,False,True,True,True,1,1,10,4,24,6,28,3,Stop,East,East,East,-1,5,21,22,-1,176,-1,East,175
7,3,False,False,True,True,True,East,False,True,True,True,1,1,9,4,25,6,28,3,Stop,West,East,East,-1,3,21,21,-1,175,-1,East,174
