@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Center'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
-0.217698,-0.139175,True,True,True,True,West,True,True,False,False,0.060159,0.117024,0.236984,0.555238,-0.50381,-0.368852,-0.628381,-0.429796,Stop,East,Stop,Stop,-0.137749,0.208278,-0.345025,-0.367513,0.769412,374,West
0.407302,0.394159,True,True,True,True,North,True,True,True,True,0.643492,0.617024,0.570317,0.680238,-0.059365,0.513501,-0.128381,0.570204,West,North,West,West,0.225887,0.092894,-0.000197,-0.200847,-0.112941,-20,West
0.115635,-0.205841,True,True,True,True,East,False,False,False,True,-0.273175,-0.257976,-0.346349,-0.257262,-0.50381,-0.368852,0.121619,-0.21551,Stop,Stop,Stop,East,-0.228658,-0.25326,-0.345025,-0.061958,-0.112941,552,South
0.198968,0.527492,False,False,True,True,West,True,True,True,True,0.560159,0.617024,0.486984,0.742738,-0.00381,0.572325,-0.128381,0.570204,East,East,East,East,0.134978,-0.099414,-0.241576,-0.256402,-0.112941,-27,West
0.448968,-0.205841,False,False,True,True,East,False,False,False,True,-0.273175,-0.257976,-0.346349,-0.257262,-0.50381,-0.368852,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,-0.25326,-0.345025,-0.228624,-0.112941,541,East
0.032302,0.594159,False,False,True,True,East,True,True,True,True,0.060159,0.054524,0.070317,-0.069762,0.162857,-0.133557,0.121619,0.070204,South,West,West,East,0.680433,0.477509,0.310148,0.243598,-0.112941,-12,East
-0.009365,-0.272508,True,True,False,True,South,False,True,True,True,-0.273175,-0.257976,0.320317,-0.132262,0.162857,-0.074734,0.271619,-0.001224,Stop,Stop,Stop,Stop,-0.228658,-0.137875,-0.069163,0.104709,-0.112941,166,South
0.323968,0.260825,True,True,False,True,North,True,True,True,True,0.476825,0.617024,0.486984,0.617738,-0.00381,0.454678,-0.128381,0.570204,Stop,Stop,Stop,Stop,0.316797,0.092894,-0.069163,-0.228624,-0.112941,-20,North
-0.259365,-0.139175,True,True,True,True,West,False,True,False,False,-0.273175,-0.257976,0.236984,0.492738,-0.50381,-0.368852,-0.628381,-0.429796,Stop,South,Stop,Stop,-0.228658,0.208278,-0.345025,-0.367513,0.828235,573,North
0.365635,0.127492,False,False,True,True,West,True,True,True,True,0.476825,0.617024,0.486984,0.617738,-0.00381,0.454678,-0.128381,0.570204,Stop,Stop,Stop,Stop,0.45316,0.208278,0.034286,-0.145291,-0.112941,-17,West
