@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R9-12,21-24,31,33-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Resample-S1-Z500.0-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Resample -S 1 -Z 500.0-Fweka.filters.unsupervised.instance.Randomize -S 42'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute ghost_1_position_x numeric
@attribute ghost_1_position_y numeric
@attribute ghost_2_position_x numeric
@attribute ghost_2_position_y numeric
@attribute ghost_3_position_x numeric
@attribute ghost_3_position_y numeric
@attribute ghost_4_position_x numeric
@attribute ghost_4_position_y numeric
@attribute ghost_1_distance numeric
@attribute ghost_2_distance numeric
@attribute ghost_3_distance numeric
@attribute ghost_4_distance numeric
@attribute pac_dots_distance numeric
@attribute score numeric
@attribute next_action {North,South,East,West,Stop}

@data
15,12,False,True,True,True,East,1,1,3,1,28,3,24,4,-1,-1,22,16,-1,358,East
7,6,False,False,True,True,West,5,9,11,3,17,6,25,7,5,7,10,19,-1,-20,West
14,17,False,True,True,True,West,12,19,12,19,5,1,16,15,4,4,-1,5,-1,114,West
16,6,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,1,10,-1,306,East
14,7,True,True,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,1,3,557,South
8,14,True,True,False,False,North,10,15,13,15,14,15,17,15,3,6,7,10,-1,-35,North
13,8,True,True,True,True,West,9,3,3,1,5,1,7,1,9,-1,-1,-1,3,564,South
15,8,False,False,True,True,East,1,1,3,1,17,6,25,7,-1,-1,4,11,-1,346,East
5,10,True,True,True,False,South,6,5,6,9,8,11,14,6,6,2,4,13,9,-5,South
10,10,True,True,True,False,North,6,4,3,1,11,10,13,5,10,-1,1,9,4,188,East
18,6,True,True,False,False,North,12,15,14,16,16,15,16,15,15,14,11,12,-1,-7,North
24,5,True,True,True,True,East,1,1,3,1,28,4,7,1,-1,-1,5,-1,-1,542,East
10,11,False,True,True,True,East,1,1,3,1,5,1,14,6,-1,-1,-1,9,5,565,South
10,10,True,True,True,False,North,6,4,3,1,11,10,13,5,10,-1,1,9,4,188,East
9,6,True,True,True,True,West,5,6,5,12,5,1,7,1,4,10,-1,-1,12,387,West
3,7,True,False,True,True,East,1,1,3,1,8,11,14,6,-1,-1,9,12,8,376,East
6,3,False,False,True,True,East,1,1,10,4,24,6,28,3,-1,5,21,22,-1,176,East
14,9,True,True,False,True,East,1,1,3,1,17,6,25,7,-1,-1,6,13,-1,348,South
14,15,True,False,True,True,East,10,15,3,1,5,1,17,15,4,-1,-1,3,-1,353,East
11,11,True,True,False,True,North,1,1,3,1,27,3,25,4,-1,-1,24,21,-1,363,North
17,13,False,False,True,True,West,14,16,14,15,16,15,16,15,6,5,3,3,-1,-25,West
16,13,False,False,True,True,West,14,15,14,15,15,15,16,15,4,4,3,3,-1,-26,West
12,6,True,True,True,True,West,5,6,5,12,5,1,7,1,7,13,-1,-1,9,390,West
13,7,True,True,True,True,South,5,6,5,12,13,6,7,1,9,13,1,-1,7,192,South
14,12,True,True,True,True,East,1,1,3,1,28,2,24,5,-1,-1,24,18,-1,359,East
5,10,True,True,True,False,South,6,5,6,9,8,11,14,6,6,2,4,13,9,-5,South
18,7,True,True,False,False,North,11,15,13,16,16,15,15,15,15,14,10,10,-1,-8,North
10,3,True,False,True,True,South,1,1,11,3,17,6,25,7,-1,1,10,19,-1,164,East
13,5,False,True,True,True,West,9,3,3,1,5,1,7,1,6,-1,-1,-1,4,559,West
14,8,True,True,True,True,West,1,1,3,1,17,6,25,7,-1,-1,5,12,-1,335,North
6,12,True,True,True,True,North,1,1,5,12,5,1,7,1,-1,1,-1,-1,15,576,West
14,7,True,True,True,True,East,9,3,3,1,5,1,7,1,9,-1,-1,-1,3,566,North
18,7,True,True,True,True,East,1,1,3,1,18,8,23,9,-1,-1,1,6,1,1479,North
6,12,False,False,True,True,East,5,9,11,3,17,6,25,7,4,14,17,24,-1,-11,East
17,10,True,True,True,True,East,1,1,3,1,19,12,22,9,-1,-1,4,6,1,1865,North
7,6,False,False,True,True,East,1,1,11,3,17,6,25,7,-1,7,10,19,-1,170,East
1,13,True,True,False,False,South,5,9,11,3,17,6,25,7,8,20,23,30,-1,-5,South
11,4,True,True,False,True,North,1,1,3,1,17,6,25,7,-1,-1,8,17,-1,362,North
12,11,True,True,True,True,North,4,6,4,12,13,7,13,12,13,9,5,1,8,-1,North
11,3,True,False,False,True,East,1,1,3,1,25,3,28,2,-1,-1,14,17,-1,371,North
7,10,True,True,True,True,North,5,11,4,11,5,1,7,1,3,4,-1,-1,12,385,West
13,16,True,True,True,False,South,1,1,3,1,5,1,16,15,-1,-1,-1,5,-1,508,East
15,13,False,False,True,True,East,14,16,13,17,15,17,15,15,4,6,4,2,-1,-73,East
20,10,True,True,True,True,South,1,1,3,1,5,1,22,9,-1,-1,-1,3,1,2458,East
12,13,False,False,True,True,West,14,15,16,15,15,15,15,15,4,6,5,5,-1,-30,West
25,5,True,True,True,True,East,1,1,3,1,27,4,7,1,-1,-1,3,-1,-1,541,East
15,3,True,False,True,True,East,10,15,13,15,14,15,17,15,17,14,13,14,-1,-1,North
6,6,True,False,True,True,West,5,9,11,3,17,6,25,7,4,8,11,20,-1,-21,North
10,6,True,True,True,True,West,5,6,5,12,5,1,7,1,5,11,-1,-1,11,388,West
13,10,True,True,True,False,North,1,1,3,1,17,6,25,7,-1,-1,8,15,-1,330,Stop
12,13,False,False,True,True,East,13,16,14,15,12,20,17,15,4,4,7,6,-1,-54,East
8,9,False,True,True,True,East,4,4,3,1,9,11,13,4,9,-1,3,10,5,191,East
17,13,False,False,True,True,West,12,15,15,15,12,19,14,15,7,4,11,4,-1,-43,West
18,7,True,True,False,False,North,10,15,13,15,14,15,17,15,16,13,12,9,-1,-8,North
1,15,True,True,True,False,South,5,9,11,3,17,6,25,7,10,22,25,32,-1,-3,South
18,11,True,True,True,True,East,1,1,3,1,26,4,25,5,-1,-1,15,12,-1,354,East
19,13,True,True,False,True,East,13,15,16,15,12,17,12,15,8,5,11,10,-1,-39,South
8,5,True,True,True,True,South,6,5,3,1,8,11,14,6,2,-1,6,7,3,187,West
13,13,False,False,True,True,East,14,15,17,15,13,16,15,15,3,6,3,4,-1,-33,East
7,6,True,True,True,True,East,1,1,9,7,19,12,23,11,-1,3,18,22,1,691,East
8,10,True,True,True,False,South,5,9,11,3,17,6,25,7,4,10,13,20,-1,-15,South
8,10,True,True,True,True,East,9,3,11,7,19,12,22,9,8,6,13,15,1,294,South
7,3,False,False,True,True,East,1,1,9,4,25,6,28,3,-1,3,21,21,-1,175,East
8,7,True,True,True,False,South,5,9,11,3,17,6,25,7,5,7,10,17,-1,-18,South
12,10,True,True,True,True,South,4,8,3,11,13,8,13,9,10,10,3,3,7,-4,South
1,8,True,True,False,False,South,5,6,11,4,20,6,26,4,6,14,21,29,-1,-10,South
15,3,True,False,True,True,East,10,15,13,15,14,15,17,15,17,14,13,14,-1,-1,North
15,12,False,True,True,True,East,1,1,3,1,28,3,24,4,-1,-1,22,16,-1,358,East
18,6,True,True,False,False,North,10,15,13,15,14,15,17,15,17,14,13,10,-1,-7,North
13,9,True,True,True,False,South,1,1,3,1,17,6,25,7,-1,-1,7,14,-1,349,East
